,index,CommID,FIPSPL,Name,CAT,QOLjobs_vg,QOLjobs_g,QOLjobs_f,QOLjobs_p,QOLjobs_dnk,QOLjobs_na,QOLmed_vg,QOLmed_g,QOLmed_f,QOLmed_p,QOLmed_dnk,QOLmed_na,QOLk12_vg,QOLk12_g,QOLk12_f,QOLk12_p,QOLk12_dnk,QOLk12_na,QOLhousing_vg,QOLhousing_g,QOLhousing_f,QOLhousing_p,QOLhousing_dnk,QOLhousing_na,QOLshop_vg,QOLshop_g,QOLshop_f,QOLshop_p,QOLshop_dnk,QOLshop_na,QOLchildcare_vg,QOLchildcare_g,QOLchildcare_f,QOLchildcare_p,QOLchildcare_dnk,QOLchildcare_na,QOLseniorcare_vg,QOLseniorcare_g,QOLseniorcare_f,QOLseniorcare_p,QOLseniorcare_dnk,QOLseniorcare_na,QOLyouth_vg,QOLyouth_g,QOLyouth_f,QOLyouth_p,QOLyouth_dnk,QOLyouth_na,QOLcommsrvall_vg,QOLcommsrvall_g,QOLcommsrvall_f,QOLcommsrvall_p,QOLcommsrvall_dnk,QOLcommsrvall_na,QOLrecrentr_vg,QOLrecrentr_g,QOLrecrentr_f,QOLrecrentr_p,QOLrecrentr_dnk,QOLrecrentr_na,QOLpolice_vg,QOLpolice_g,QOLpolice_f,QOLpolice_p,QOLpolice_dnk,QOLpolice_na,QOLfire_vg,QOLfire_g,QOLfire_f,QOLfire_p,QOLfire_dnk,QOLfire_na,QOLems_vg,QOLems_g,QOLems_f,QOLems_p,QOLems_dnk,QOLems_na,QOLstreets_vg,QOLstreets_g,QOLstreets_f,QOLstreets_p,QOLstreets_dnk,QOLstreets_na,QOLparks_vg,QOLparks_g,QOLparks_f,QOLparks_p,QOLparks_dnk,QOLparks_na,QOLgarbage_vg,QOLgarbage_g,QOLgarbage_f,QOLgarbage_p,QOLgarbage_dnk,QOLgarbage_na,QOLwater_vg,QOLwater_g,QOLwater_f,QOLwater_p,QOLwater_dnk,QOLwater_na,QOLgovtsrvall_vg,QOLgovtsrvall_g,QOLgovtsrvall_f,QOLgovtsrvall_p,QOLgovtsrvall_dnk,QOLgovtsrvall_na
0,202,1.0,1900595,Afton,AGE2,0.0,21.091,36.726,31.711,5.31,5.162,0.0,4.592,13.52,13.648,0.0,68.24,22.704,59.056,13.648,0.0,4.592,0.0,4.464,13.776,49.872,18.24,9.056,4.592,0.0,9.056,18.367,40.944,0.0,31.633,0.0,23.899,23.765,9.613,37.917,4.806,4.592,36.352,13.52,13.52,27.423,4.592,13.776,27.168,31.76,0.0,27.296,0.0,9.492,23.93,52.139,9.626,0.0,4.813,22.747,27.381,22.747,9.014,3.019,15.094,13.648,45.536,31.76,9.056,0.0,0.0,50.128,36.224,9.056,0.0,4.592,0.0,45.663,45.153,4.592,0.0,4.592,0.0,9.613,33.244,52.47,4.673,0.0,0.0,33.378,47.53,19.092,0.0,0.0,0.0,30.014,45.021,9.818,5.049,5.049,5.049,42.857,52.336,0.0,4.806,0.0,0.0,20.168,44.818,20.028,0.0,9.944,5.042
1,203,2.0,1900640,Agency,AGE2,0.0,5.215,13.266,28.911,19.899,32.709,5.598,11.197,11.197,0.0,11.197,60.812,68.425,21.453,0.0,5.666,4.455,0.0,5.93,56.36,22.454,0.0,10.593,4.663,0.0,0.0,16.795,15.598,0.0,67.607,0.0,19.918,10.593,9.325,27.116,33.047,9.781,17.331,17.331,0.0,44.444,11.111,8.803,15.598,10.0,0.0,40.0,25.598,18.803,25.598,21.197,10.0,8.803,15.598,0.0,17.464,12.265,3.333,0.0,66.937,9.578,39.46,23.373,0.0,18.011,9.578,62.833,32.951,4.216,0.0,0.0,0.0,32.951,47.892,9.578,0.0,9.578,0.0,20.303,50.962,14.941,5.362,8.432,0.0,34.097,43.676,4.216,0.0,12.648,5.362,44.822,37.167,0.0,0.0,8.432,9.578,43.676,42.53,5.362,0.0,4.216,4.216,23.552,41.785,23.552,0.0,4.891,6.22
2,204,3.0,1900730,Ainsworth,AGE2,0.0,13.108,5.596,32.695,24.3,24.3,0.0,2.879,2.879,0.0,16.364,77.879,28.225,50.0,8.166,5.444,5.444,2.722,0.0,15.906,27.099,5.596,29.897,21.502,0.0,0.0,5.596,8.394,13.108,72.901,0.0,13.108,8.394,0.0,56.995,21.502,0.0,13.108,18.704,2.798,46.685,18.704,0.0,34.611,21.502,5.596,22.384,15.906,0.0,33.392,34.407,9.66,6.44,16.101,7.32,34.358,21.177,3.758,0.96,32.428,18.195,37.248,8.166,5.444,2.722,28.225,57.308,34.526,0.0,2.722,5.444,0.0,50.0,39.113,5.444,0.0,2.722,2.722,15.474,39.113,10.887,26.361,5.444,2.722,65.474,23.639,5.444,2.722,0.0,2.722,18.195,28.225,5.444,0.0,39.97,8.166,43.699,19.053,2.722,5.444,26.361,2.722,12.752,41.834,13.609,0.0,29.083,2.722
3,205,4.0,1900865,Albert City,AGE2,6.047,33.963,26.512,28.834,2.322,2.322,3.641,0.0,0.0,15.461,0.0,80.898,59.132,20.434,3.56,5.779,11.094,0.0,7.282,36.359,32.718,3.641,16.359,3.641,0.0,14.09,20.0,22.269,0.0,43.641,8.009,13.001,21.475,16.018,34.997,6.5,0.0,13.333,20.0,24.107,21.547,21.012,0.0,15.821,33.478,10.691,27.915,12.095,3.641,22.269,57.731,14.09,0.0,2.269,4.697,10.008,23.512,16.341,1.513,43.929,30.237,50.207,13.777,3.56,2.219,0.0,73.787,26.213,0.0,0.0,0.0,0.0,53.353,33.747,10.681,2.219,0.0,0.0,32.042,49.743,18.215,0.0,0.0,0.0,50.257,45.305,2.219,0.0,2.219,0.0,45.355,26.213,5.779,0.0,14.655,7.998,23.58,30.651,28.432,0.0,11.558,5.779,37.294,41.951,8.489,3.779,8.489,0.0
4,206,5.0,1900910,Albia,AGE2,6.332,22.533,33.799,16.201,9.868,11.266,32.401,40.132,11.266,11.266,4.934,0.0,28.865,38.734,4.934,0.0,22.533,4.934,6.661,6.661,48.876,22.231,10.38,5.19,0.0,9.868,35.198,50.0,4.934,0.0,6.661,35.554,35.554,0.0,22.231,0.0,5.19,17.041,42.215,0.0,35.554,0.0,6.661,30.364,17.041,5.19,34.083,6.661,6.332,33.799,43.668,4.934,6.332,4.934,12.342,30.824,27.007,13.877,12.491,3.46,46.464,31.003,17.599,0.0,4.934,0.0,40.132,42.269,0.0,0.0,17.599,0.0,33.799,45.066,0.0,0.0,21.135,0.0,4.934,43.668,38.734,12.665,0.0,0.0,0.0,64.802,28.865,0.0,6.332,0.0,12.665,48.602,32.401,0.0,6.332,0.0,21.135,50.0,4.934,18.997,4.934,0.0,4.934,50.0,28.865,0.0,9.868,6.332
5,207,6.0,1900955,Albion,AGE2,13.605,4.31,22.9,32.653,17.914,8.619,0.0,0.0,5.867,0.0,8.911,85.222,0.0,22.9,4.31,4.31,27.209,41.272,4.716,19.604,60.793,10.172,4.716,0.0,0.0,0.0,5.867,26.085,0.0,68.048,0.0,27.209,17.238,0.0,46.934,8.619,0.0,17.174,4.131,8.263,49.126,21.305,4.131,35.436,8.263,4.131,39.127,8.911,0.0,19.907,61.373,14.217,4.504,0.0,3.333,4.347,4.347,19.199,8.479,60.294,0.0,37.639,26.533,4.31,22.9,8.619,47.39,35.436,17.174,0.0,0.0,0.0,44.347,29.568,17.174,0.0,8.911,0.0,14.13,55.653,30.216,0.0,0.0,0.0,35.436,43.259,17.174,0.0,4.131,0.0,26.533,31.519,18.59,0.0,19.049,4.31,40.215,17.174,34.348,4.131,4.131,0.0,23.672,22.952,14.491,9.901,24.392,4.59
6,208,7.0,1901270,Allerton,AGE2,0.0,17.297,46.148,32.703,0.0,3.852,13.445,7.703,6.723,0.0,3.852,68.277,13.445,25.98,13.445,0.0,7.703,39.426,0.0,6.723,47.129,28.852,6.723,10.574,0.0,0.0,7.703,39.426,0.0,52.871,0.0,21.148,39.426,0.0,35.574,3.852,0.0,21.148,35.574,14.426,18.277,10.574,0.0,6.992,19.009,35.98,15.004,23.015,0.0,13.445,44.258,27.871,7.703,6.723,2.241,19.865,35.271,8.007,1.284,33.333,6.723,61.555,6.723,17.297,3.852,3.852,35.574,56.723,3.852,0.0,3.852,0.0,42.297,53.852,0.0,0.0,3.852,0.0,0.0,0.0,25.0,68.277,6.723,0.0,6.723,45.238,34.594,0.0,6.723,6.723,31.723,43.277,3.852,0.0,14.426,6.723,14.426,67.297,14.426,3.852,0.0,0.0,6.723,43.277,25.0,3.852,21.148,0.0
7,209,8.0,1901630,Altoona,AGE2,9.804,23.53,23.53,9.804,27.452,5.881,15.685,35.297,25.488,7.845,15.685,0.0,23.53,39.22,11.762,0.0,21.566,3.922,19.607,52.941,11.767,0.0,15.685,0.0,9.804,27.452,39.214,17.649,5.881,0.0,6.121,32.656,6.121,0.0,46.937,8.165,6.121,0.0,24.49,0.0,65.306,4.083,6.121,24.49,12.243,4.083,48.981,4.083,10.416,64.584,25.0,0.0,0.0,0.0,26.143,37.256,24.837,3.268,8.496,0.0,35.416,47.919,10.416,0.0,6.249,0.0,39.214,43.137,3.922,0.0,13.726,0.0,29.411,56.863,0.0,0.0,13.726,0.0,17.649,43.137,27.452,11.762,0.0,0.0,27.452,62.744,0.0,0.0,9.804,0.0,15.685,68.63,3.922,0.0,11.762,0.0,19.607,64.708,9.804,0.0,5.881,0.0,11.762,56.868,15.685,0.0,9.804,5.881
8,210,9.0,1902260,Anita,AGE2,0.0,11.103,44.109,24.245,13.142,7.402,12.462,34.668,36.027,4.381,8.761,3.701,30.97,50.0,7.742,0.0,7.742,3.546,3.701,35.347,36.027,4.381,13.142,7.402,0.0,16.163,47.13,20.544,0.0,16.163,12.235,36.706,12.941,0.0,34.275,3.843,3.701,7.402,28.625,7.402,37.387,15.483,3.701,15.483,23.565,7.402,46.148,3.701,19.055,40.81,32.783,3.676,3.676,0.0,33.38,33.179,15.064,6.286,7.983,4.107,7.091,10.637,51.303,18.379,12.591,0.0,71.925,28.075,0.0,0.0,0.0,0.0,68.379,19.682,4.197,0.0,7.742,0.0,14.182,38.712,47.106,0.0,0.0,0.0,29.016,66.787,4.197,0.0,0.0,0.0,48.697,16.136,3.546,0.0,24.53,7.091,18.379,42.258,19.682,7.742,4.197,7.742,18.379,27.424,30.97,0.0,23.227,0.0
9,211,10.0,1903475,Atkins,AGE2,2.826,2.826,22.558,29.549,21.121,21.121,19.462,45.819,13.888,2.787,13.888,4.157,31.236,39.948,2.508,8.755,17.554,0.0,37.653,47.857,7.245,0.0,7.245,0.0,0.0,0.0,2.787,37.457,4.157,55.599,9.731,13.888,16.626,6.944,43.081,9.731,2.787,2.787,6.944,16.626,56.968,13.888,2.64,28.949,15.794,6.577,30.246,15.794,0.0,32.883,43.828,5.497,10.945,6.847,0.88,15.59,17.262,19.636,9.953,36.679,7.523,33.744,37.484,7.479,5.015,8.755,54.993,28.729,6.247,2.508,7.523,0.0,40.035,36.208,2.508,0.0,21.249,0.0,5.015,47.514,34.976,12.495,0.0,0.0,11.552,53.791,24.368,2.572,7.716,0.0,27.497,42.499,14.958,0.0,15.046,0.0,23.105,26.895,25.632,16.652,7.716,0.0,9.987,54.993,19.974,2.508,10.031,2.508
