,index,CommID,FIPSPL,Name,CAT,QOLjobs_vg,QOLjobs_g,QOLjobs_f,QOLjobs_p,QOLjobs_dnk,QOLjobs_na,QOLmed_vg,QOLmed_g,QOLmed_f,QOLmed_p,QOLmed_dnk,QOLmed_na,QOLk12_vg,QOLk12_g,QOLk12_f,QOLk12_p,QOLk12_dnk,QOLk12_na,QOLhousing_vg,QOLhousing_g,QOLhousing_f,QOLhousing_p,QOLhousing_dnk,QOLhousing_na,QOLshop_vg,QOLshop_g,QOLshop_f,QOLshop_p,QOLshop_dnk,QOLshop_na,QOLchildcare_vg,QOLchildcare_g,QOLchildcare_f,QOLchildcare_p,QOLchildcare_dnk,QOLchildcare_na,QOLseniorcare_vg,QOLseniorcare_g,QOLseniorcare_f,QOLseniorcare_p,QOLseniorcare_dnk,QOLseniorcare_na,QOLyouth_vg,QOLyouth_g,QOLyouth_f,QOLyouth_p,QOLyouth_dnk,QOLyouth_na,QOLcommsrvall_vg,QOLcommsrvall_g,QOLcommsrvall_f,QOLcommsrvall_p,QOLcommsrvall_dnk,QOLcommsrvall_na,QOLrecrentr_vg,QOLrecrentr_g,QOLrecrentr_f,QOLrecrentr_p,QOLrecrentr_dnk,QOLrecrentr_na,QOLpolice_vg,QOLpolice_g,QOLpolice_f,QOLpolice_p,QOLpolice_dnk,QOLpolice_na,QOLfire_vg,QOLfire_g,QOLfire_f,QOLfire_p,QOLfire_dnk,QOLfire_na,QOLems_vg,QOLems_g,QOLems_f,QOLems_p,QOLems_dnk,QOLems_na,QOLstreets_vg,QOLstreets_g,QOLstreets_f,QOLstreets_p,QOLstreets_dnk,QOLstreets_na,QOLparks_vg,QOLparks_g,QOLparks_f,QOLparks_p,QOLparks_dnk,QOLparks_na,QOLgarbage_vg,QOLgarbage_g,QOLgarbage_f,QOLgarbage_p,QOLgarbage_dnk,QOLgarbage_na,QOLwater_vg,QOLwater_g,QOLwater_f,QOLwater_p,QOLwater_dnk,QOLwater_na,QOLgovtsrvall_vg,QOLgovtsrvall_g,QOLgovtsrvall_f,QOLgovtsrvall_p,QOLgovtsrvall_dnk,QOLgovtsrvall_na
0,1111,1.0,1900595,Afton,INC3,0.0,0.0,44.32,53.315,2.365,0.0,0.0,0.0,0.0,2.216,0.0,97.784,16.772,81.012,2.216,0.0,0.0,0.0,0.0,27.975,72.025,0.0,0.0,0.0,0.0,10.307,0.0,8.681,0.0,81.012,0.0,28.785,35.375,8.681,27.159,0.0,0.0,35.07,22.805,6.285,35.839,0.0,12.929,22.626,41.535,0.0,22.91,0.0,0.0,41.714,58.286,0.0,0.0,0.0,11.995,52.44,26.265,2.216,0.0,7.084,0.0,50.395,49.605,0.0,0.0,0.0,25.679,39.503,34.819,0.0,0.0,0.0,29.521,54.138,16.341,0.0,0.0,0.0,0.0,47.999,45.716,6.285,0.0,0.0,41.714,49.785,8.501,0.0,0.0,0.0,12.929,68.593,0.0,0.0,18.478,0.0,41.714,37.592,2.216,0.0,18.478,0.0,7.065,48.012,44.923,0.0,0.0,0.0
1,1112,2.0,1900640,Agency,INC3,0.0,9.23,15.134,49.523,9.136,16.977,0.0,10.506,10.506,25.554,13.544,39.89,49.486,50.514,0.0,0.0,0.0,0.0,14.421,43.195,27.208,0.0,8.706,6.471,0.0,0.0,21.011,25.554,3.039,50.396,0.0,21.804,0.0,33.814,8.177,36.205,3.312,20.455,18.076,27.855,14.764,15.537,3.039,8.26,53.436,0.0,15.644,19.622,11.299,11.299,60.11,0.0,8.177,9.116,3.039,14.536,17.774,25.554,3.039,36.058,0.0,20.237,60.496,0.0,5.299,13.969,39.59,60.41,0.0,0.0,0.0,0.0,14.337,41.426,3.039,0.0,41.198,0.0,19.622,38.241,31.632,10.506,0.0,0.0,28.755,68.111,0.0,3.134,0.0,0.0,25.622,60.41,0.0,0.0,3.134,10.835,27.882,43.525,25.554,3.039,0.0,0.0,7.029,67.847,15.666,0.0,5.943,3.515
2,1113,3.0,1900730,Ainsworth,INC3,0.0,0.0,4.08,40.837,27.806,27.276,0.0,0.0,4.08,31.405,19.116,45.399,67.968,26.283,0.0,4.08,1.669,0.0,0.0,0.0,35.967,4.08,36.757,23.196,0.0,0.0,8.161,31.405,19.116,41.319,0.0,0.0,4.08,29.736,42.988,23.196,0.0,0.0,33.158,0.0,47.726,19.116,0.0,4.08,33.158,29.736,13.91,19.116,0.0,27.27,50.489,5.045,7.108,10.089,6.643,31.574,24.069,11.272,1.602,24.839,23.196,4.08,40.837,4.08,8.69,19.116,88.369,7.551,0.0,4.08,0.0,0.0,56.222,39.698,4.08,0.0,0.0,0.0,23.196,9.962,37.896,28.945,0.0,0.0,54.553,41.367,4.08,0.0,0.0,0.0,28.945,19.116,8.161,0.0,11.101,32.677,38.232,15.182,4.08,5.749,36.757,0.0,19.116,41.977,8.161,1.669,29.078,0.0
3,1114,4.0,1900865,Albert City,INC3,3.259,40.94,23.625,25.835,6.341,0.0,0.0,0.0,3.259,17.995,0.0,78.746,60.964,27.9,6.86,0.0,4.275,0.0,0.0,38.95,36.43,0.0,24.62,0.0,0.0,10.119,25.011,34.76,0.0,30.11,7.338,14.676,11.912,11.151,39.198,15.725,0.0,22.286,14.182,15.93,18.065,29.538,0.0,25.827,28.397,15.725,18.695,11.357,0.0,18.601,66.005,8.839,6.555,0.0,4.727,9.687,14.294,13.2,2.185,55.907,26.204,46.606,10.424,10.424,0.0,6.341,59.091,24.144,10.424,0.0,0.0,6.341,56.881,18.975,24.144,0.0,0.0,0.0,30.662,37.162,25.835,0.0,0.0,6.341,54.105,31.004,4.275,0.0,4.275,6.341,33.064,13.72,6.86,10.424,29.591,6.341,17.654,35.279,30.11,0.0,10.616,6.341,28.789,45.895,14.7,0.0,4.275,6.341
4,1115,5.0,1900910,Albia,INC3,0.0,52.422,25.704,9.674,12.2,0.0,27.841,22.159,22.159,27.841,0.0,0.0,26.689,45.47,0.0,0.0,27.841,0.0,0.0,26.689,59.674,7.537,6.1,0.0,0.0,0.0,58.493,41.507,0.0,0.0,0.0,62.096,7.537,0.0,12.2,18.167,0.0,35.211,24.749,6.1,15.774,18.167,35.211,15.774,7.537,13.637,9.674,18.167,0.0,50.0,50.0,0.0,0.0,0.0,8.578,29.45,44.114,8.962,2.841,6.056,46.981,28.426,7.853,16.74,0.0,0.0,39.128,35.218,0.0,0.0,25.654,0.0,30.214,37.186,0.0,0.0,32.6,0.0,7.853,27.365,30.214,34.568,0.0,0.0,13.474,69.786,16.74,0.0,0.0,0.0,30.214,37.186,15.86,0.0,0.0,16.74,13.474,60.872,16.74,8.914,0.0,0.0,14.276,58.542,9.445,0.0,17.737,0.0
5,1116,6.0,1900955,Albion,INC3,8.738,2.247,42.579,27.406,12.79,6.24,0.0,0.0,36.542,0.0,0.0,63.458,0.0,9.02,15.743,4.182,31.697,39.359,0.0,7.474,92.526,0.0,0.0,0.0,0.0,0.0,0.0,44.645,0.0,55.355,0.0,17.477,29.653,21.29,28.461,3.12,0.0,10.985,4.051,8.103,43.713,33.148,0.0,40.378,0.0,4.051,43.713,11.858,0.0,8.357,86.216,5.427,0.0,0.0,0.0,0.0,19.205,23.177,1.35,56.267,3.12,36.326,32.093,0.0,4.051,24.409,51.304,27.406,21.29,0.0,0.0,0.0,55.355,44.645,0.0,0.0,0.0,0.0,10.291,29.631,60.078,0.0,0.0,0.0,14.342,60.317,21.29,0.0,4.051,0.0,40.319,34.079,15.252,0.0,6.298,4.051,23.081,15.037,36.542,21.29,4.051,0.0,7.474,36.227,25.003,0.0,9.107,22.189
6,1117,7.0,1901270,Allerton,INC3,0.0,7.344,54.085,33.736,0.0,4.835,26.622,0.0,26.392,0.0,0.0,46.986,0.0,49.878,7.344,0.0,0.0,42.778,0.0,12.179,46.512,26.622,7.344,7.344,0.0,0.0,4.207,7.344,0.0,88.449,4.835,7.344,54.085,0.0,33.736,0.0,4.835,19.048,35.037,7.344,26.392,7.344,0.0,0.0,38.084,32.603,9.072,20.242,0.0,45.67,27.463,14.688,0.0,12.179,0.0,37.32,9.37,2.572,0.0,50.737,0.0,35.435,33.966,7.344,4.207,19.048,62.056,37.944,0.0,0.0,0.0,0.0,43.008,56.992,0.0,0.0,0.0,0.0,0.0,19.048,16.386,64.565,0.0,0.0,0.0,58.92,26.392,0.0,7.344,7.344,65.193,11.551,19.048,0.0,4.207,0.0,38.8,53.856,7.344,0.0,0.0,0.0,5.972,52.353,9.072,0.0,9.072,23.531
7,1118,8.0,1901630,Altoona,INC3,0.0,32.216,0.0,14.196,53.588,0.0,7.006,0.0,39.406,0.0,53.588,0.0,32.216,0.0,54.101,0.0,4.215,9.468,7.006,43.621,0.0,0.0,49.373,0.0,0.0,11.221,63.569,25.211,0.0,0.0,0.0,35.586,15.68,0.0,48.734,0.0,0.0,7.006,14.196,4.215,74.584,0.0,0.0,21.202,25.211,0.0,53.588,0.0,0.0,25.416,34.679,0.0,39.905,0.0,0.0,30.255,55.039,0.0,14.707,0.0,21.202,49.373,25.211,0.0,4.215,0.0,21.202,65.116,9.468,0.0,4.215,0.0,25.416,74.584,0.0,0.0,0.0,0.0,7.006,29.425,49.373,14.196,0.0,0.0,7.006,48.874,0.0,0.0,44.12,0.0,7.006,67.784,25.211,0.0,0.0,0.0,7.006,38.893,54.101,0.0,0.0,0.0,11.221,74.584,0.0,0.0,14.196,0.0
8,1119,9.0,1902260,Anita,INC3,0.0,4.253,57.225,8.506,13.75,16.267,9.287,17.445,46.933,0.0,10.068,16.267,30.03,48.296,8.133,0.0,9.287,4.253,16.863,13.54,47.714,0.0,13.75,8.133,0.0,16.664,44.615,12.386,0.0,26.335,13.764,17.222,13.168,21.006,14.321,20.52,0.0,4.253,26.136,4.253,40.362,24.996,4.253,9.287,42.122,0.0,36.205,8.133,25.355,28.085,46.56,0.0,0.0,0.0,46.942,28.197,10.558,0.0,1.678,12.625,4.253,8.506,39.232,29.807,18.202,0.0,85.679,14.321,0.0,0.0,0.0,0.0,77.545,9.287,0.0,0.0,13.168,0.0,8.506,48.033,43.461,0.0,0.0,0.0,37.184,33.677,29.139,0.0,0.0,0.0,34.27,0.0,25.259,0.0,27.489,12.982,42.122,26.136,9.287,17.421,5.034,0.0,48.784,6.373,5.384,10.296,29.163,0.0
9,1120,10.0,1903475,Atkins,INC3,0.0,0.0,33.43,22.816,28.922,14.832,32.698,19.408,32.784,0.0,0.0,15.11,11.487,58.839,21.348,0.0,8.326,0.0,33.501,51.143,5.119,0.0,5.119,5.119,0.0,0.0,16.751,34.274,0.0,48.976,20.512,19.455,12.272,5.402,17.588,24.771,15.11,0.0,13.329,9.747,38.013,23.8,5.129,28.65,21.874,0.0,15.779,28.568,0.0,51.614,28.914,0.0,0.0,19.472,1.71,13.652,14.156,22.787,2.949,44.746,4.581,42.072,16.767,24.509,0.0,12.071,56.663,18.902,19.854,0.0,4.581,0.0,64.152,31.267,0.0,0.0,4.581,0.0,0.0,45.742,12.981,37.532,0.0,3.745,4.879,55.986,16.762,13.647,4.801,3.925,30.585,60.179,0.0,0.0,9.237,0.0,27.252,29.611,15.885,18.448,4.879,3.925,8.727,61.051,25.463,0.0,4.759,0.0
