CommID,FIPSPL,Name,CAT,QOLjobs_vg,QOLjobs_g,QOLjobs_f,QOLjobs_p,QOLjobs_dnk,QOLjobs_na,QOLmed_vg,QOLmed_g,QOLmed_f,QOLmed_p,QOLmed_dnk,QOLmed_na,QOLk12_vg,QOLk12_g,QOLk12_f,QOLk12_p,QOLk12_dnk,QOLk12_na,QOLhousing_vg,QOLhousing_g,QOLhousing_f,QOLhousing_p,QOLhousing_dnk,QOLhousing_na,QOLshop_vg,QOLshop_g,QOLshop_f,QOLshop_p,QOLshop_dnk,QOLshop_na,QOLchildcare_vg,QOLchildcare_g,QOLchildcare_f,QOLchildcare_p,QOLchildcare_dnk,QOLchildcare_na,QOLseniorcare_vg,QOLseniorcare_g,QOLseniorcare_f,QOLseniorcare_p,QOLseniorcare_dnk,QOLseniorcare_na,QOLyouth_vg,QOLyouth_g,QOLyouth_f,QOLyouth_p,QOLyouth_dnk,QOLyouth_na,QOLcommsrvall_vg,QOLcommsrvall_g,QOLcommsrvall_f,QOLcommsrvall_p,QOLcommsrvall_dnk,QOLcommsrvall_na,QOLrecrentr_vg,QOLrecrentr_g,QOLrecrentr_f,QOLrecrentr_p,QOLrecrentr_dnk,QOLrecrentr_na,QOLpolice_vg,QOLpolice_g,QOLpolice_f,QOLpolice_p,QOLpolice_dnk,QOLpolice_na,QOLfire_vg,QOLfire_g,QOLfire_f,QOLfire_p,QOLfire_dnk,QOLfire_na,QOLems_vg,QOLems_g,QOLems_f,QOLems_p,QOLems_dnk,QOLems_na,QOLstreets_vg,QOLstreets_g,QOLstreets_f,QOLstreets_p,QOLstreets_dnk,QOLstreets_na,QOLparks_vg,QOLparks_g,QOLparks_f,QOLparks_p,QOLparks_dnk,QOLparks_na,QOLgarbage_vg,QOLgarbage_g,QOLgarbage_f,QOLgarbage_p,QOLgarbage_dnk,QOLgarbage_na,QOLwater_vg,QOLwater_g,QOLwater_f,QOLwater_p,QOLwater_dnk,QOLwater_na,QOLgovtsrvall_vg,QOLgovtsrvall_g,QOLgovtsrvall_f,QOLgovtsrvall_p,QOLgovtsrvall_dnk,QOLgovtsrvall_na
1.0,1900595,Afton,ALL,4.598,15.54,36.19,20.392,18.926,4.354,0.0,6.292,8.665,5.974,9.834,69.235,27.527,47.311,12.657,4.923,7.582,0.0,3.269,26.392,51.764,6.389,10.578,1.609,0.0,16.707,9.33,20.55,7.415,45.997,1.673,27.701,22.455,8.208,30.408,9.556,3.57,29.436,20.745,9.64,27.103,9.506,9.555,25.351,23.988,1.582,28.538,10.986,5.891,31.108,45.859,5.342,10.215,1.585,21.79,29.052,21.293,5.354,8.043,14.468,21.699,41.746,30.586,4.411,1.558,0.0,48.63,28.599,15.523,0.504,6.744,0.0,41.609,41.251,9.388,1.008,6.744,0.0,8.401,29.383,40.735,15.543,5.938,0.0,34.481,47.936,11.721,0.511,5.351,0.0,22.731,39.493,9.114,6.018,20.549,2.094,44.291,42.257,1.047,2.051,10.353,0.0,16.842,40.269,21.873,1.698,13.902,5.417
2.0,1900640,Agency,ALL,5.603,5.505,18.931,19.436,20.607,29.917,2.12,5.276,4.24,5.769,6.926,75.669,43.672,38.033,0.0,5.673,8.061,4.56,13.859,41.909,28.897,0.0,10.468,4.866,0.0,1.037,7.586,12.712,3.3,75.366,0.0,8.036,14.532,9.459,21.848,46.124,4.102,21.027,12.858,7.514,29.338,25.16,3.963,16.788,19.503,0.0,29.904,29.841,9.315,30.756,31.92,3.937,9.69,14.381,3.49,12.724,13.046,6.855,2.98,60.905,8.088,23.742,23.578,6.091,10.852,27.649,52.718,34.768,6.78,0.0,5.733,0.0,35.788,36.982,4.346,0.0,17.791,5.093,24.974,47.903,16.255,5.996,4.872,0.0,43.805,43.365,2.303,0.619,7.766,2.142,39.017,44.489,5.395,0.0,7.138,3.962,43.11,40.818,11.568,0.606,2.252,1.646,19.91,48.845,9.136,3.595,15.625,2.89
3.0,1900730,Ainsworth,ALL,0.0,5.466,12.287,47.645,22.083,12.518,0.0,1.85,1.075,31.97,6.888,58.217,28.845,26.217,19.451,10.395,6.135,8.955,7.786,17.907,25.273,11.327,29.059,8.648,0.0,0.0,2.563,36.023,4.984,56.431,1.212,14.488,19.925,9.033,37.623,17.719,0.0,5.88,10.66,9.385,52.342,21.734,7.821,16.034,20.467,18.758,12.222,24.699,0.818,42.991,32.975,13.877,2.735,6.604,11.859,25.569,17.268,12.866,0.767,31.67,8.047,41.769,31.498,2.059,5.106,11.521,50.943,35.783,8.015,1.03,3.809,0.421,40.833,36.941,18.013,0.0,2.767,1.445,17.609,29.728,22.28,26.435,2.491,1.457,35.745,54.817,3.574,1.038,3.362,1.463,17.514,13.113,4.029,7.716,42.564,15.065,26.45,12.651,2.219,18.627,36.657,3.396,12.677,37.688,6.49,16.05,25.603,1.492
4.0,1900865,Albert City,ALL,2.997,30.724,28.957,25.919,8.342,3.061,1.361,0.647,0.647,16.355,0.0,80.99,58.317,14.368,6.56,9.049,11.705,0.0,5.618,27.177,44.496,2.074,15.792,4.843,0.0,8.035,30.426,27.705,0.0,33.834,3.74,20.72,24.234,9.811,27.74,13.754,1.39,13.292,22.988,17.73,17.865,26.735,2.128,19.025,27.767,18.487,19.093,13.5,7.113,20.045,57.197,10.555,1.328,3.762,4.338,12.421,18.268,18.364,1.859,44.75,28.726,45.812,16.203,3.969,2.051,3.239,69.943,26.797,2.027,0.0,0.0,1.233,51.294,37.016,10.207,0.842,0.642,0.0,28.751,45.053,22.958,2.014,0.0,1.225,45.809,48.602,3.513,0.0,0.836,1.24,33.194,27.226,4.122,2.677,26.485,6.295,20.529,36.267,23.991,2.66,13.154,3.398,30.067,36.704,17.852,1.459,8.192,5.726
5.0,1900910,Albia,ALL,28.692,17.6,31.755,11.329,7.399,3.226,50.14,33.211,6.844,8.445,1.36,0.0,35.155,26.509,1.369,0.0,34.05,2.917,5.391,30.319,47.753,7.958,6.722,1.858,23.967,5.707,35.227,32.675,2.423,0.0,4.726,42.883,14.995,0.0,27.958,9.437,6.274,25.483,27.88,2.962,32.989,4.411,15.907,37.684,15.86,4.969,18.571,7.009,1.796,58.067,35.541,1.4,1.796,1.4,11.128,40.795,30.602,8.648,5.038,3.789,32.573,48.791,14.088,3.214,1.334,0.0,27.059,60.543,0.0,0.0,12.398,0.0,26.853,31.456,0.0,0.0,41.691,0.0,5.488,25.386,58.191,10.936,0.0,0.0,11.753,43.665,18.726,0.0,25.855,0.0,21.945,54.887,14.859,0.0,1.747,6.561,27.733,55.266,7.213,5.191,1.348,3.249,11.272,41.701,13.07,0.0,32.17,1.786
6.0,1900955,Albion,ALL,4.905,4.09,31.138,31.665,13.685,14.517,0.0,8.318,18.93,0.973,2.727,69.052,0.0,9.043,11.253,3.351,24.742,51.61,3.077,17.05,57.635,6.488,8.794,6.956,0.0,0.0,5.455,32.047,0.0,62.497,0.0,9.103,25.251,7.985,36.358,21.304,4.759,8.604,6.288,2.528,41.95,35.87,1.289,22.679,10.848,7.136,32.823,25.225,0.0,21.37,49.91,17.813,10.128,0.78,1.58,2.046,10.6,16.845,6.914,62.015,3.317,32.19,24.899,5.384,9.701,24.509,41.58,29.066,28.401,0.0,0.952,0.0,40.936,32.052,16.894,6.499,3.62,0.0,9.308,32.945,56.778,0.0,0.969,0.0,15.799,54.242,22.294,4.739,2.926,0.0,29.769,25.428,22.104,0.0,18.974,3.725,24.884,23.866,33.275,10.444,7.53,0.0,10.842,27.774,34.589,2.797,12.607,11.391
7.0,1901270,Allerton,ALL,1.3,10.57,39.994,43.105,0.0,5.03,18.585,2.233,14.913,9.557,1.117,53.595,12.803,27.639,8.953,1.283,6.37,42.952,3.017,11.861,49.717,28.746,3.417,3.241,1.3,0.0,2.262,38.659,0.0,57.779,3.899,13.293,31.868,12.647,29.071,9.221,3.849,14.04,34.996,8.319,25.254,13.541,0.0,7.854,34.913,21.853,18.663,16.717,1.283,22.722,50.691,18.556,3.516,3.232,5.338,19.913,20.938,10.245,5.447,38.119,8.543,45.207,15.234,23.82,1.102,6.094,46.446,43.54,8.911,0.0,1.102,0.0,48.447,47.633,2.818,0.0,1.102,0.0,0.0,10.506,16.565,70.975,1.955,0.0,9.809,53.486,32.856,0.0,1.924,1.924,47.878,27.175,16.076,0.0,6.947,1.924,23.075,50.007,15.189,8.911,2.818,0.0,8.692,39.865,25.76,4.126,14.97,6.587
8.0,1901630,Altoona,ALL,6.752,15.397,23.801,12.265,35.373,6.412,11.722,45.981,15.42,7.811,15.719,3.347,35.862,38.763,9.716,5.347,9.043,1.269,18.659,54.146,9.156,5.979,12.06,0.0,4.071,37.806,38.599,17.08,2.444,0.0,10.343,25.012,12.38,5.5,39.135,7.63,2.95,2.148,8.49,6.14,74.471,5.801,5.431,31.38,21.757,6.804,32.357,2.27,4.342,57.661,24.733,5.399,7.865,0.0,17.301,41.17,25.934,8.629,6.337,0.629,43.426,39.51,7.709,5.368,3.986,0.0,42.268,43.321,1.806,5.268,7.336,0.0,37.972,37.828,0.56,5.297,18.342,0.0,21.577,38.584,30.722,9.117,0.0,0.0,38.547,43.251,9.203,0.0,8.998,0.0,47.254,40.536,8.462,0.0,3.748,0.0,32.686,43.321,22.108,0.0,1.884,0.0,18.353,57.704,5.638,8.725,7.678,1.902
9.0,1902260,Anita,ALL,2.482,9.982,49.037,10.993,17.697,9.808,15.582,47.655,24.006,2.771,4.007,5.98,36.543,41.339,8.515,0.0,12.397,1.206,8.428,30.376,34.867,3.87,16.488,5.972,3.472,18.806,38.616,21.378,0.0,17.728,14.746,24.249,17.979,6.321,28.316,8.39,4.784,13.954,19.268,7.391,40.698,13.904,4.671,15.261,24.292,12.246,37.281,6.249,24.717,30.572,39.229,2.6,2.882,0.0,37.671,34.813,11.216,5.941,4.721,5.638,6.806,12.638,43.001,19.297,7.632,10.626,84.02,15.98,0.0,0.0,0.0,0.0,65.42,24.533,5.056,0.0,4.992,0.0,13.99,35.877,46.741,3.392,0.0,0.0,39.521,47.213,11.996,0.0,1.269,0.0,56.046,10.721,7.238,0.0,21.221,4.775,30.961,29.98,20.32,14.582,1.461,2.695,25.328,39.462,14.005,7.796,13.41,0.0
10.0,1903475,Atkins,ALL,0.761,7.871,18.401,27.313,29.628,16.027,20.315,42.631,19.279,2.958,9.292,5.525,31.805,40.963,6.877,2.422,16.661,1.272,31.617,47.068,15.763,1.397,3.495,0.661,0.0,0.663,4.446,28.518,9.271,57.101,22.624,25.412,12.32,4.851,29.331,5.463,3.298,1.56,6.934,11.586,53.901,22.721,11.654,23.95,18.171,1.86,28.097,16.268,1.219,35.417,40.712,8.443,9.62,4.588,7.023,8.573,17.513,19.628,9.573,37.69,10.232,34.076,34.753,8.291,4.724,7.924,50.705,40.079,3.726,0.699,4.791,0.0,50.989,27.395,6.31,0.0,15.305,0.0,8.276,49.104,29.861,11.486,0.705,0.567,13.939,47.561,28.059,2.684,7.186,0.571,29.431,44.549,13.698,0.0,11.756,0.567,15.091,44.766,20.124,11.12,8.328,0.571,12.092,60.748,16.634,0.724,9.077,0.724
