,index,CommID,FIPSPL,Name,CAT,QOLjobs_vg,QOLjobs_g,QOLjobs_f,QOLjobs_p,QOLjobs_dnk,QOLjobs_na,QOLmed_vg,QOLmed_g,QOLmed_f,QOLmed_p,QOLmed_dnk,QOLmed_na,QOLk12_vg,QOLk12_g,QOLk12_f,QOLk12_p,QOLk12_dnk,QOLk12_na,QOLhousing_vg,QOLhousing_g,QOLhousing_f,QOLhousing_p,QOLhousing_dnk,QOLhousing_na,QOLshop_vg,QOLshop_g,QOLshop_f,QOLshop_p,QOLshop_dnk,QOLshop_na,QOLchildcare_vg,QOLchildcare_g,QOLchildcare_f,QOLchildcare_p,QOLchildcare_dnk,QOLchildcare_na,QOLseniorcare_vg,QOLseniorcare_g,QOLseniorcare_f,QOLseniorcare_p,QOLseniorcare_dnk,QOLseniorcare_na,QOLyouth_vg,QOLyouth_g,QOLyouth_f,QOLyouth_p,QOLyouth_dnk,QOLyouth_na,QOLcommsrvall_vg,QOLcommsrvall_g,QOLcommsrvall_f,QOLcommsrvall_p,QOLcommsrvall_dnk,QOLcommsrvall_na,QOLrecrentr_vg,QOLrecrentr_g,QOLrecrentr_f,QOLrecrentr_p,QOLrecrentr_dnk,QOLrecrentr_na,QOLpolice_vg,QOLpolice_g,QOLpolice_f,QOLpolice_p,QOLpolice_dnk,QOLpolice_na,QOLfire_vg,QOLfire_g,QOLfire_f,QOLfire_p,QOLfire_dnk,QOLfire_na,QOLems_vg,QOLems_g,QOLems_f,QOLems_p,QOLems_dnk,QOLems_na,QOLstreets_vg,QOLstreets_g,QOLstreets_f,QOLstreets_p,QOLstreets_dnk,QOLstreets_na,QOLparks_vg,QOLparks_g,QOLparks_f,QOLparks_p,QOLparks_dnk,QOLparks_na,QOLgarbage_vg,QOLgarbage_g,QOLgarbage_f,QOLgarbage_p,QOLgarbage_dnk,QOLgarbage_na,QOLwater_vg,QOLwater_g,QOLwater_f,QOLwater_p,QOLwater_dnk,QOLwater_na,QOLgovtsrvall_vg,QOLgovtsrvall_g,QOLgovtsrvall_f,QOLgovtsrvall_p,QOLgovtsrvall_dnk,QOLgovtsrvall_na
0,404,1.0,1900595,Afton,SEX1M,10.168,13.612,34.311,17.255,18.781,5.873,0.0,10.649,6.444,6.63,13.026,63.251,30.359,44.013,11.303,1.149,13.176,0.0,3.259,30.016,54.355,3.259,9.111,0.0,0.0,23.121,2.247,16.297,12.88,45.455,0.0,22.157,29.712,1.217,28.97,17.944,1.123,24.58,28.554,8.618,19.435,17.689,10.772,26.723,14.374,3.448,24.29,20.394,5.494,31.761,46.31,4.545,11.89,0.0,25.349,23.076,15.745,6.499,10.867,18.465,22.248,34.372,33.236,6.63,3.513,0.0,37.781,36.458,12.735,1.136,11.89,0.0,16.669,60.792,8.377,2.272,11.89,0.0,2.348,31.995,36.691,25.337,3.63,0.0,18.836,60.853,6.851,1.174,12.286,0.0,13.865,42.321,20.248,0.0,22.378,1.188,35.517,57.331,2.348,1.174,3.63,0.0,2.704,54.7,17.857,4.056,17.981,2.704
1,405,2.0,1900640,Agency,SEX1M,0.0,7.556,27.26,14.874,16.86,33.45,4.306,8.612,8.612,1.245,9.857,67.368,48.606,25.277,0.0,12.028,6.681,7.408,15.104,38.329,33.582,0.0,8.865,4.119,0.0,0.0,15.408,9.857,2.491,72.244,0.0,5.878,26.491,1.319,20.27,46.043,1.301,17.516,22.722,0.0,30.42,28.041,1.23,30.196,25.273,0.0,25.622,17.679,8.524,27.612,33.611,4.564,3.96,21.728,3.514,16.716,21.998,2.238,2.491,53.043,11.211,34.661,21.744,0.0,8.042,24.343,72.705,26.049,0.0,0.0,1.245,0.0,40.599,45.975,5.483,0.0,7.943,0.0,31.319,41.722,13.426,12.303,1.23,0.0,55.497,36.359,1.261,1.261,1.261,4.36,55.366,34.523,0.0,0.0,5.424,4.688,47.205,39.262,11.073,1.23,1.23,0.0,30.218,29.014,14.995,7.311,12.585,5.878
2,406,3.0,1900730,Ainsworth,SEX1M,0.0,9.326,4.305,42.992,29.746,13.631,0.0,1.435,0.0,29.361,10.761,58.443,36.407,27.758,14.2,15.588,6.047,0.0,0.0,29.746,19.37,14.68,26.877,9.326,0.0,0.0,0.0,30.796,9.326,59.878,1.435,26.877,29.361,1.435,30.132,10.761,0.0,9.326,15.066,14.68,42.992,17.935,0.0,22.957,31.181,14.68,4.305,26.877,1.582,46.256,32.806,19.355,0.0,0.0,5.5,26.655,17.439,15.637,0.478,34.29,10.409,28.773,36.728,0.0,6.047,18.043,48.204,34.325,14.2,0.0,3.271,0.0,24.982,43.346,28.401,0.0,3.271,0.0,13.68,27.758,19.752,38.81,0.0,0.0,29.84,62.725,2.776,0.0,4.659,0.0,10.556,22.519,2.815,14.4,44.08,5.63,27.445,8.445,1.407,30.208,29.68,2.815,9.279,25.696,1.428,29.211,34.387,0.0
3,407,4.0,1900865,Albert City,SEX1M,4.185,45.25,25.25,25.315,0.0,0.0,2.692,1.279,1.279,17.43,0.0,77.32,61.813,6.838,10.7,12.362,8.287,0.0,6.928,29.044,51.501,4.129,5.598,2.799,0.0,6.749,37.903,21.604,0.0,33.745,6.928,26.384,24.915,13.92,23.724,4.129,2.591,8.044,31.08,20.382,19.087,18.816,0.0,23.445,34.706,11.197,13.996,16.656,13.857,12.388,57.099,15.326,0.0,1.33,5.59,13.906,18.923,19.828,0.0,41.753,32.313,50.376,13.288,4.022,0.0,0.0,76.8,23.2,0.0,0.0,0.0,0.0,59.05,31.35,8.288,0.0,1.312,0.0,49.969,33.806,16.225,0.0,0.0,0.0,55.423,43.282,1.295,0.0,0.0,0.0,41.571,18.125,6.852,1.33,29.322,2.799,34.05,38.462,16.575,1.312,6.838,2.763,41.038,20.593,23.555,2.963,2.963,8.889
4,408,5.0,1900910,Albia,SEX1M,61.174,15.147,15.626,4.026,0.0,4.026,62.967,25.83,7.314,3.888,0.0,0.0,24.527,14.591,0.0,0.0,57.57,3.312,8.061,22.265,61.612,8.061,0.0,0.0,50.05,6.624,21.663,21.663,0.0,0.0,16.322,41.322,26.033,0.0,16.322,0.0,0.0,29.367,46.449,0.0,24.184,0.0,23.967,33.678,16.322,0.0,17.355,8.678,3.76,67.953,24.527,0.0,3.76,0.0,19.346,40.936,25.056,10.649,4.012,0.0,31.019,55.291,13.69,0.0,0.0,0.0,20.968,71.753,0.0,0.0,7.278,0.0,20.535,27.38,0.0,0.0,52.085,0.0,6.412,14.123,72.187,7.278,0.0,0.0,6.412,30.586,10.917,0.0,52.085,0.0,13.69,72.187,10.484,0.0,3.639,0.0,13.257,72.62,3.206,10.917,0.0,0.0,6.412,27.38,14.123,0.0,48.446,3.639
5,409,6.0,1900955,Albion,SEX1M,5.251,3.75,25.293,43.79,16.292,5.625,0.0,1.84,19.835,1.84,5.155,71.33,0.0,14.807,19.046,3.896,26.278,35.973,1.84,23.353,56.974,6.995,10.838,0.0,0.0,0.0,5.521,42.822,0.0,51.657,0.0,10.703,31.844,1.911,38.558,16.984,8.997,8.835,5.521,0.0,49.817,26.83,0.0,9.173,13.162,11.252,38.558,27.855,0.0,9.374,56.002,23.583,11.041,0.0,0.613,1.718,7.868,29.514,8.605,51.681,3.75,36.334,34.624,1.875,12.377,11.041,45.335,27.333,25.458,0.0,1.875,0.0,41.958,27.333,23.583,0.0,7.126,0.0,5.625,32.419,60.082,0.0,1.875,0.0,10.876,52.626,25.458,9.166,1.875,0.0,23.791,25.293,28.834,0.0,22.081,0.0,29.043,29.208,28.834,1.875,11.041,0.0,9.173,26.325,46.537,5.352,12.614,0.0
6,410,7.0,1901270,Allerton,SEX1M,0.0,13.585,52.871,33.543,0.0,0.0,22.059,0.0,9.664,11.485,0.0,56.793,7.843,23.88,7.843,0.0,5.742,54.692,6.092,10.253,45.84,29.495,4.16,4.16,0.0,0.0,0.0,37.465,0.0,62.535,0.0,19.328,31.723,19.958,23.249,5.742,0.0,13.585,45.938,9.664,21.148,9.664,0.0,9.664,43.838,21.429,15.406,9.664,0.0,27.801,50.77,17.507,0.0,3.922,8.964,23.063,20.238,7.75,0.0,39.986,9.664,38.655,18.137,33.543,0.0,0.0,57.423,36.835,5.742,0.0,0.0,0.0,61.345,32.913,5.742,0.0,0.0,0.0,0.0,6.092,14.413,75.334,4.16,0.0,9.664,35.364,47.129,0.0,3.922,3.922,57.423,28.992,0.0,0.0,9.664,3.922,29.622,35.014,23.88,5.742,5.742,0.0,3.922,43.207,27.801,5.742,19.328,0.0
7,411,8.0,1901630,Altoona,SEX1M,2.798,10.884,21.429,14.589,50.3,0.0,3.945,55.752,6.674,16.964,16.665,0.0,24.554,43.332,12.72,11.505,5.16,2.73,18.632,44.104,8.393,13.037,15.834,0.0,2.73,38.788,37.573,19.694,1.215,0.0,11.977,28.716,0.0,11.977,40.381,6.948,0.0,2.53,9.79,13.242,71.596,2.842,0.0,36.275,11.977,14.819,34.088,2.842,5.16,61.212,9.404,11.505,12.72,0.0,17.572,32.067,29.668,12.509,8.184,0.0,37.122,44.012,5.098,11.367,2.401,0.0,38.323,38.619,3.897,11.367,7.795,0.0,25.769,31.827,1.215,11.505,29.684,0.0,31.582,19.966,36.805,11.646,0.0,0.0,36.358,35.473,12.72,0.0,15.449,0.0,44.0,52.103,3.897,0.0,0.0,0.0,30.899,39.717,29.384,0.0,0.0,0.0,13.935,65.456,3.945,11.505,5.16,0.0
8,412,9.0,1902260,Anita,SEX1M,5.491,10.982,40.064,13.218,19.263,10.982,20.191,34.859,21.459,6.232,6.598,10.66,46.298,26.411,15.901,0.0,11.39,0.0,13.206,21.015,36.904,8.383,15.315,5.178,5.178,17.81,36.904,20.493,0.0,19.616,16.411,23.343,19.616,0.0,30.274,10.356,5.461,10.922,24.992,6.011,32.302,20.313,5.178,11.233,19.616,8.028,50.767,5.178,19.754,41.499,35.824,2.923,0.0,0.0,35.087,34.296,8.2,9.211,5.085,8.122,5.017,10.54,43.162,26.947,14.334,0.0,74.931,25.069,0.0,0.0,0.0,0.0,66.154,14.839,10.884,0.0,8.123,0.0,10.54,47.147,39.551,2.761,0.0,0.0,34.22,49.879,13.14,0.0,2.761,0.0,56.838,14.839,0.0,0.0,25.562,2.761,25.463,36.166,17.998,13.834,3.269,3.269,29.512,26.454,15.614,15.999,12.421,0.0
9,413,10.0,1903475,Atkins,SEX1M,0.0,12.863,11.852,29.931,28.498,16.856,14.911,45.464,18.041,4.377,6.157,11.05,31.504,54.424,3.912,2.052,6.709,1.399,34.439,49.311,12.042,0.0,4.208,0.0,0.0,0.0,4.881,32.918,9.186,53.016,16.527,27.275,21.705,8.013,19.99,6.491,4.797,0.0,9.028,18.64,48.111,19.423,11.385,28.571,21.173,2.2,28.077,8.593,0.0,39.322,39.222,6.132,8.786,6.537,4.666,13.396,18.32,22.554,4.131,36.932,4.071,39.474,32.011,16.781,5.527,2.136,50.385,38.18,6.049,0.0,5.386,0.0,41.472,39.237,3.912,0.0,15.38,0.0,5.311,39.982,33.273,20.036,1.399,0.0,16.586,53.502,23.204,3.912,2.797,0.0,25.54,47.806,19.945,0.0,6.709,0.0,14.726,48.267,17.432,16.778,2.797,0.0,14.726,53.025,21.628,0.0,10.621,0.0
