,index,CommID,FIPSPL,Name,CAT,QOLjobs_vg,QOLjobs_g,QOLjobs_f,QOLjobs_p,QOLjobs_dnk,QOLjobs_na,QOLmed_vg,QOLmed_g,QOLmed_f,QOLmed_p,QOLmed_dnk,QOLmed_na,QOLk12_vg,QOLk12_g,QOLk12_f,QOLk12_p,QOLk12_dnk,QOLk12_na,QOLhousing_vg,QOLhousing_g,QOLhousing_f,QOLhousing_p,QOLhousing_dnk,QOLhousing_na,QOLshop_vg,QOLshop_g,QOLshop_f,QOLshop_p,QOLshop_dnk,QOLshop_na,QOLchildcare_vg,QOLchildcare_g,QOLchildcare_f,QOLchildcare_p,QOLchildcare_dnk,QOLchildcare_na,QOLseniorcare_vg,QOLseniorcare_g,QOLseniorcare_f,QOLseniorcare_p,QOLseniorcare_dnk,QOLseniorcare_na,QOLyouth_vg,QOLyouth_g,QOLyouth_f,QOLyouth_p,QOLyouth_dnk,QOLyouth_na,QOLcommsrvall_vg,QOLcommsrvall_g,QOLcommsrvall_f,QOLcommsrvall_p,QOLcommsrvall_dnk,QOLcommsrvall_na,QOLrecrentr_vg,QOLrecrentr_g,QOLrecrentr_f,QOLrecrentr_p,QOLrecrentr_dnk,QOLrecrentr_na,QOLpolice_vg,QOLpolice_g,QOLpolice_f,QOLpolice_p,QOLpolice_dnk,QOLpolice_na,QOLfire_vg,QOLfire_g,QOLfire_f,QOLfire_p,QOLfire_dnk,QOLfire_na,QOLems_vg,QOLems_g,QOLems_f,QOLems_p,QOLems_dnk,QOLems_na,QOLstreets_vg,QOLstreets_g,QOLstreets_f,QOLstreets_p,QOLstreets_dnk,QOLstreets_na,QOLparks_vg,QOLparks_g,QOLparks_f,QOLparks_p,QOLparks_dnk,QOLparks_na,QOLgarbage_vg,QOLgarbage_g,QOLgarbage_f,QOLgarbage_p,QOLgarbage_dnk,QOLgarbage_na,QOLwater_vg,QOLwater_g,QOLwater_f,QOLwater_p,QOLwater_dnk,QOLwater_na,QOLgovtsrvall_vg,QOLgovtsrvall_g,QOLgovtsrvall_f,QOLgovtsrvall_p,QOLgovtsrvall_dnk,QOLgovtsrvall_na
0,505,1.0,1900595,Afton,SEX2F,0.0,17.68,38.948,23.716,16.456,3.199,0.0,2.799,10.799,5.598,4.463,76.342,22.802,51.663,14.233,8.374,2.93,0.0,0.0,23.829,51.046,9.592,12.336,3.197,0.0,11.724,15.658,24.793,0.0,47.826,0.0,33.136,17.162,14.233,32.539,2.93,2.799,34.456,14.691,10.799,34.456,2.799,8.789,24.939,33.136,0.0,33.136,0.0,3.138,31.525,46.957,6.275,8.968,3.138,16.459,35.011,26.627,4.533,5.886,11.485,22.523,47.483,27.195,2.799,0.0,0.0,54.745,23.658,18.799,0.0,2.799,0.0,59.207,27.195,10.799,0.0,2.799,0.0,13.598,28.12,42.282,8.0,8.0,0.0,43.382,40.222,16.396,0.0,0.0,0.0,28.709,36.358,0.0,11.644,20.271,3.018,48.337,31.986,0.0,2.93,16.747,0.0,25.556,28.58,26.354,0.0,11.665,7.844
1,506,2.0,1900640,Agency,SEX2F,10.964,3.544,10.964,23.8,24.19,26.537,0.0,2.042,0.0,10.156,4.084,83.718,39.268,49.421,0.0,0.0,9.294,2.017,12.718,45.192,24.6,0.0,11.938,5.552,0.0,2.042,0.0,15.481,4.084,78.393,0.0,10.054,3.351,17.071,23.324,46.2,6.789,24.396,3.394,14.724,28.301,22.396,6.703,3.351,13.719,0.0,34.196,42.031,10.054,33.692,30.341,3.351,15.041,7.52,3.456,8.807,4.259,11.415,3.46,68.603,5.156,13.49,25.3,11.811,13.49,30.754,33.575,43.119,13.274,0.0,10.032,0.0,31.123,28.262,3.243,0.0,27.34,10.032,18.943,53.779,18.943,0.0,8.334,0.0,32.517,50.128,3.309,0.0,14.045,0.0,24.338,53.437,10.238,0.0,8.677,3.309,39.138,42.328,12.049,0.0,3.243,3.243,9.938,68.029,3.467,0.0,18.566,0.0
2,507,3.0,1900730,Ainsworth,SEX2F,0.0,0.952,21.623,53.087,13.121,11.217,0.0,2.338,2.338,35.034,2.338,57.952,20.154,24.447,25.486,4.427,6.237,19.249,16.807,4.193,32.11,7.442,31.587,7.862,0.0,0.0,5.504,42.022,0.0,52.475,0.952,0.0,8.889,17.919,46.385,25.855,0.0,1.886,5.556,3.249,63.174,26.135,16.967,7.937,7.937,23.527,21.482,22.151,0.0,39.494,33.155,8.013,5.662,13.675,19.263,24.288,17.098,9.594,1.109,28.649,5.332,56.707,25.486,4.427,4.024,4.024,54.091,37.458,0.905,2.213,4.427,0.905,58.89,29.645,6.181,0.0,2.194,3.091,22.165,32.013,25.212,12.081,5.381,3.147,42.657,45.56,4.508,2.254,1.844,3.176,25.546,2.254,5.43,0.0,40.813,25.956,25.313,17.462,3.147,5.381,44.637,4.061,16.581,51.465,12.306,0.931,15.512,3.206
3,508,4.0,1900865,Albert City,SEX2F,1.793,15.995,32.716,26.531,16.801,6.164,0.0,0.0,0.0,15.256,0.0,84.744,54.892,21.748,2.503,5.802,15.055,0.0,4.294,25.292,37.423,0.0,26.084,6.907,0.0,9.335,22.874,33.867,0.0,33.925,0.0,14.075,23.436,4.991,32.452,25.046,0.0,19.368,13.619,14.658,16.449,35.905,4.258,14.6,20.82,25.785,24.195,10.341,0.0,28.122,57.299,5.521,2.73,6.328,3.112,10.968,17.617,16.836,3.72,47.747,25.334,41.495,18.96,3.918,3.991,6.302,63.543,30.155,3.918,0.0,0.0,2.384,43.877,42.434,12.042,1.646,0.0,0.0,8.685,55.688,29.325,3.918,0.0,2.384,36.496,53.755,5.66,0.0,1.646,2.442,25.479,35.609,1.607,3.918,23.871,9.516,7.909,34.218,30.914,3.918,19.05,3.991,19.424,52.335,12.319,0.0,13.265,2.657
4,509,5.0,1900910,Albia,SEX2F,2.08,19.61,44.969,17.311,13.46,2.57,39.693,39.223,6.461,12.155,2.468,0.0,44.479,36.966,2.57,0.0,13.415,2.57,4.27,33.701,41.932,7.914,9.546,2.638,1.997,4.935,46.653,41.951,4.464,0.0,0.0,43.519,10.497,0.0,32.7,13.283,8.853,23.887,20.244,4.18,36.61,6.225,12.763,39.248,15.679,6.908,19.045,6.358,0.0,49.021,45.618,2.68,0.0,2.68,7.869,38.383,35.378,8.014,5.166,5.19,33.953,43.02,14.441,6.068,2.518,0.0,32.58,50.381,0.0,0.0,17.04,0.0,32.58,35.15,0.0,0.0,32.271,0.0,4.65,35.595,45.504,14.251,0.0,0.0,16.594,55.521,25.804,0.0,2.08,0.0,29.566,38.917,18.899,0.0,0.0,12.619,40.854,39.536,10.845,0.0,2.57,6.195,15.958,55.506,12.055,0.0,16.48,0.0
5,510,6.0,1900955,Albion,SEX2F,4.686,4.686,39.708,13.728,11.044,26.148,0.0,16.209,14.662,0.0,0.0,69.129,0.0,2.87,2.87,2.87,24.007,67.382,4.815,9.63,56.628,6.117,6.533,16.276,0.0,0.0,1.572,20.56,0.0,77.868,0.0,7.573,18.435,15.579,31.05,27.363,0.0,8.675,7.433,5.58,30.465,47.847,2.79,34.803,8.675,2.79,27.675,23.267,0.0,34.699,43.635,10.407,9.319,1.94,1.446,2.478,14.089,2.993,5.268,73.727,3.086,26.048,15.755,5.867,7.41,41.834,40.603,25.54,33.856,0.0,0.0,0.0,39.102,39.762,6.914,14.222,0.0,0.0,9.916,34.796,55.288,0.0,0.0,0.0,18.035,58.123,19.635,0.0,4.207,0.0,35.001,27.591,16.16,0.0,12.973,8.275,18.331,19.763,40.77,16.928,4.207,0.0,13.177,30.54,22.373,0.0,9.093,24.818
6,511,7.0,1901270,Allerton,SEX2F,2.618,7.513,26.938,52.8,0.0,10.131,15.152,4.44,20.1,7.653,2.22,50.436,17.703,31.353,10.05,2.551,6.991,31.353,0.0,13.44,53.522,28.011,2.688,2.339,2.618,0.0,4.556,39.869,0.0,52.957,7.853,7.174,32.016,5.235,34.973,12.749,7.653,14.49,24.185,6.991,29.311,17.372,0.0,5.815,24.862,22.332,22.332,24.66,2.551,17.703,50.613,19.592,6.991,2.551,1.746,16.692,21.59,12.547,10.822,36.603,7.462,51.519,12.437,14.452,2.165,11.965,35.871,50.0,11.965,0.0,2.165,0.0,36.02,61.815,0.0,0.0,2.165,0.0,0.0,14.416,18.472,67.112,0.0,0.0,9.95,70.946,19.104,0.0,0.0,0.0,38.681,25.425,31.565,0.0,4.329,0.0,16.766,64.452,6.817,11.965,0.0,0.0,13.788,36.295,23.58,2.4,10.315,13.622
7,512,8.0,1901630,Altoona,SEX2F,10.608,20.087,23.102,10.608,23.102,12.494,19.011,35.427,23.696,0.0,15.442,6.423,47.334,32.437,7.365,0.0,12.865,0.0,19.357,64.921,6.54,0.0,9.182,0.0,5.402,38.281,40.876,11.825,3.617,0.0,5.602,22.674,23.733,0.0,39.479,8.512,5.707,1.886,7.643,0.0,76.092,8.672,10.412,28.227,27.484,0.0,32.026,1.851,3.752,56.53,36.013,0.0,3.704,0.0,17.653,50.781,19.949,5.488,4.918,1.212,50.877,33.102,10.417,0.0,5.604,0.0,47.299,45.514,0.0,0.0,7.187,0.0,50.105,40.923,0.0,0.0,8.972,0.0,13.61,52.654,26.503,7.234,0.0,0.0,41.851,48.11,6.423,0.0,3.617,0.0,51.844,28.077,12.846,0.0,7.234,0.0,35.427,44.493,16.463,0.0,3.617,0.0,22.992,49.199,7.365,6.54,10.222,3.682
8,513,9.0,1902260,Anita,SEX2F,0.0,9.443,55.083,9.443,16.916,9.115,12.239,56.667,26.808,0.0,1.988,2.297,29.072,52.69,2.297,0.0,13.643,2.297,4.463,36.523,34.131,0.0,18.028,6.855,2.071,17.209,41.308,22.812,0.0,16.6,13.678,25.861,17.039,12.368,24.215,6.839,4.372,16.86,15.146,8.745,45.817,9.06,4.372,19.204,29.066,16.263,26.722,4.372,29.763,22.064,43.372,2.4,2.4,0.0,37.743,36.637,14.042,3.306,4.606,3.666,8.571,14.845,44.119,13.165,1.988,17.311,91.255,8.745,0.0,0.0,0.0,0.0,63.731,33.926,0.0,0.0,2.344,0.0,17.49,23.891,54.562,4.057,0.0,0.0,45.321,43.333,11.346,0.0,0.0,0.0,57.014,4.372,13.92,0.0,17.977,6.716,36.442,25.713,19.917,15.631,0.0,2.297,22.074,50.195,12.897,0.0,14.835,0.0
9,514,10.0,1903475,Atkins,SEX2F,1.577,2.866,25.748,22.594,31.618,15.596,23.687,40.887,21.078,1.582,12.767,0.0,31.202,26.129,10.394,2.939,28.135,1.201,29.798,46.229,19.752,0.0,2.912,1.31,0.0,1.293,4.167,25.245,9.604,59.691,29.774,21.354,2.62,1.602,40.136,4.514,1.801,3.273,1.801,4.417,61.759,26.949,12.249,19.728,12.816,1.553,28.872,24.782,2.475,32.424,40.656,10.985,10.708,2.752,9.629,3.754,15.382,17.299,15.347,38.589,14.534,30.269,36.791,0.0,4.14,14.266,51.078,41.574,1.47,1.47,4.409,0.0,61.203,13.601,9.192,0.0,16.004,0.0,11.863,58.801,25.196,2.939,0.0,1.201,11.79,40.997,32.19,1.492,12.312,1.219,30.001,43.334,7.723,0.0,17.741,1.201,16.264,40.703,24.08,2.983,14.751,1.219,6.89,70.403,11.706,1.614,7.773,1.614
