,index,CommID,FIPSPL,Name,CAT,QOLjobs_vg,QOLjobs_g,QOLjobs_f,QOLjobs_p,QOLjobs_dnk,QOLjobs_na,QOLmed_vg,QOLmed_g,QOLmed_f,QOLmed_p,QOLmed_dnk,QOLmed_na,QOLk12_vg,QOLk12_g,QOLk12_f,QOLk12_p,QOLk12_dnk,QOLk12_na,QOLhousing_vg,QOLhousing_g,QOLhousing_f,QOLhousing_p,QOLhousing_dnk,QOLhousing_na,QOLshop_vg,QOLshop_g,QOLshop_f,QOLshop_p,QOLshop_dnk,QOLshop_na,QOLchildcare_vg,QOLchildcare_g,QOLchildcare_f,QOLchildcare_p,QOLchildcare_dnk,QOLchildcare_na,QOLseniorcare_vg,QOLseniorcare_g,QOLseniorcare_f,QOLseniorcare_p,QOLseniorcare_dnk,QOLseniorcare_na,QOLyouth_vg,QOLyouth_g,QOLyouth_f,QOLyouth_p,QOLyouth_dnk,QOLyouth_na,QOLcommsrvall_vg,QOLcommsrvall_g,QOLcommsrvall_f,QOLcommsrvall_p,QOLcommsrvall_dnk,QOLcommsrvall_na,QOLrecrentr_vg,QOLrecrentr_g,QOLrecrentr_f,QOLrecrentr_p,QOLrecrentr_dnk,QOLrecrentr_na,QOLpolice_vg,QOLpolice_g,QOLpolice_f,QOLpolice_p,QOLpolice_dnk,QOLpolice_na,QOLfire_vg,QOLfire_g,QOLfire_f,QOLfire_p,QOLfire_dnk,QOLfire_na,QOLems_vg,QOLems_g,QOLems_f,QOLems_p,QOLems_dnk,QOLems_na,QOLstreets_vg,QOLstreets_g,QOLstreets_f,QOLstreets_p,QOLstreets_dnk,QOLstreets_na,QOLparks_vg,QOLparks_g,QOLparks_f,QOLparks_p,QOLparks_dnk,QOLparks_na,QOLgarbage_vg,QOLgarbage_g,QOLgarbage_f,QOLgarbage_p,QOLgarbage_dnk,QOLgarbage_na,QOLwater_vg,QOLwater_g,QOLwater_f,QOLwater_p,QOLwater_dnk,QOLwater_na,QOLgovtsrvall_vg,QOLgovtsrvall_g,QOLgovtsrvall_f,QOLgovtsrvall_p,QOLgovtsrvall_dnk,QOLgovtsrvall_na
0,808,1.0,1900595,Afton,TENURE3,7.728,15.729,39.088,17.077,15.679,4.699,0.0,7.709,13.92,6.376,4.647,67.348,41.505,36.927,19.844,0.863,0.863,0.0,2.446,16.337,62.308,9.993,8.916,0.0,0.0,24.377,14.942,26.521,0.816,33.344,0.0,20.728,27.845,10.931,27.342,13.154,3.195,25.145,24.013,14.622,20.18,12.845,6.757,25.407,29.538,1.725,21.267,15.306,6.533,30.097,46.444,7.444,7.025,2.458,21.446,25.732,23.723,7.535,4.774,16.791,27.844,42.872,22.264,7.02,0.0,0.0,56.828,32.542,7.489,0.802,2.339,0.0,53.106,36.264,6.687,1.604,2.339,0.0,6.429,31.574,43.523,11.632,6.842,0.0,36.731,44.455,17.993,0.821,0.0,0.0,21.405,38.79,11.66,9.935,14.751,3.458,51.949,38.378,1.707,0.853,7.114,0.0,17.631,37.819,15.487,1.925,17.929,9.209
1,809,2.0,1900640,Agency,TENURE3,0.0,0.0,26.903,21.276,26.521,25.3,4.142,8.283,4.142,1.198,11.507,70.728,61.432,24.428,0.0,4.23,9.91,0.0,19.073,43.494,11.679,0.0,18.667,7.087,0.0,0.0,9.481,11.507,4.421,74.59,0.0,10.546,15.156,0.0,33.469,40.829,6.794,19.477,12.39,2.113,35.944,23.282,7.775,19.541,2.416,0.0,37.797,32.471,14.104,34.246,15.955,4.476,13.97,17.25,0.0,18.2,10.71,2.153,4.391,64.545,9.022,27.83,19.545,1.939,10.468,31.197,64.662,22.576,3.118,0.0,9.645,0.0,41.097,28.921,7.083,0.0,22.899,0.0,24.457,55.237,10.137,5.112,5.057,0.0,41.63,42.968,1.16,0.0,10.231,4.011,51.861,22.111,9.952,0.0,8.768,7.308,48.203,43.623,1.939,0.0,3.118,3.118,32.603,38.143,13.902,0.0,15.352,0.0
2,810,3.0,1900730,Ainsworth,TENURE3,0.0,9.193,5.707,38.709,30.986,15.404,0.0,3.139,1.824,14.198,9.861,70.977,35.071,35.635,18.302,4.697,5.589,0.706,0.0,28.947,23.384,4.348,30.518,12.803,0.0,0.0,2.524,17.027,8.393,72.056,1.301,11.057,31.704,1.301,41.097,13.541,0.0,9.931,15.967,0.0,53.085,21.017,0.0,25.855,33.933,0.0,13.435,26.778,1.432,44.867,36.472,7.653,0.813,8.763,5.033,30.773,21.73,2.925,1.305,38.234,11.764,38.978,22.629,3.453,5.589,17.588,53.321,40.565,0.711,1.739,2.953,0.711,34.559,44.913,16.889,0.0,2.932,0.706,14.801,34.319,19.572,28.147,2.45,0.711,38.357,50.493,4.275,1.751,4.407,0.716,15.199,19.035,6.779,0.0,49.989,8.997,28.667,17.629,3.75,16.734,29.242,3.978,8.478,34.513,7.474,14.086,34.71,0.74
3,811,4.0,1900865,Albert City,TENURE3,2.811,35.096,24.914,25.984,7.483,3.711,1.69,0.803,0.0,16.001,0.0,81.506,60.682,12.45,5.56,11.074,10.234,0.0,2.575,30.727,41.162,2.575,16.949,6.012,0.0,9.183,32.481,28.165,0.0,30.171,4.592,20.763,27.714,7.371,28.365,11.195,1.723,10.228,26.497,17.353,16.629,27.571,0.0,17.61,27.539,18.68,19.431,16.74,8.876,15.935,56.784,12.052,1.657,4.694,4.495,12.83,17.721,18.921,2.3,43.733,27.656,48.188,15.217,2.412,2.53,3.996,71.825,26.652,0.0,0.0,0.0,1.523,57.509,34.764,5.889,1.043,0.795,0.0,29.063,42.614,24.327,2.485,0.0,1.511,44.594,48.491,4.346,0.0,1.035,1.535,27.355,29.505,4.312,0.789,30.249,7.79,18.907,37.325,22.534,0.783,16.253,4.198,29.617,36.854,16.954,1.843,7.498,7.234
4,812,5.0,1900910,Albia,TENURE3,10.152,24.453,44.858,5.698,7.646,7.192,49.166,35.897,11.969,2.968,0.0,0.0,42.841,40.853,3.012,0.0,6.877,6.417,6.735,21.769,52.502,7.349,8.427,3.218,2.324,12.237,56.494,26.621,2.324,0.0,7.977,51.862,7.545,0.0,24.652,7.964,5.077,37.998,26.375,5.077,25.474,0.0,26.978,34.315,16.196,5.209,13.172,4.13,4.061,40.482,45.067,3.164,4.061,3.164,11.537,39.439,31.943,6.003,4.613,6.466,46.974,37.791,15.235,0.0,0.0,0.0,45.344,52.299,0.0,0.0,2.357,0.0,44.899,52.744,0.0,0.0,2.357,0.0,11.856,17.571,55.101,15.472,0.0,0.0,16.014,54.017,23.873,0.0,6.095,0.0,36.717,40.321,12.452,0.0,3.652,6.858,28.911,54.125,3.293,3.738,2.913,7.02,14.556,56.431,17.373,0.0,7.811,3.828
5,813,6.0,1900955,Albion,TENURE3,6.86,6.725,10.809,37.868,19.125,18.613,0.0,13.305,12.042,1.557,4.362,68.734,0.0,7.881,18.182,3.283,22.993,47.661,3.857,23.366,44.331,7.586,9.411,11.449,0.0,0.0,8.665,26.746,0.0,64.589,0.0,11.602,31.195,1.681,33.427,22.094,0.0,10.62,10.058,2.022,41.031,36.268,2.087,20.415,9.704,9.465,29.921,28.408,0.0,29.208,43.148,16.015,10.441,1.188,2.15,0.38,8.84,16.483,9.028,63.12,5.276,24.957,31.001,5.038,11.135,22.593,37.602,28.261,32.632,0.0,1.504,0.0,42.749,21.845,23.641,10.261,1.504,0.0,13.737,32.257,52.46,0.0,1.547,0.0,17.754,55.682,23.009,0.0,3.555,0.0,32.254,18.185,22.259,0.0,26.197,1.105,27.729,21.489,36.117,2.773,11.891,0.0,13.07,19.803,46.644,4.544,12.664,3.275
6,814,7.0,1901270,Allerton,TENURE3,0.0,13.032,38.828,41.523,0.0,6.617,19.478,3.756,4.8,11.274,0.0,60.692,13.031,32.828,3.278,0.0,4.036,46.827,5.282,9.498,50.067,25.564,5.982,3.607,0.0,0.0,3.839,32.778,0.0,63.383,6.617,22.558,23.174,16.557,24.477,6.617,4.316,9.956,55.584,7.034,10.714,12.395,0.0,10.432,47.487,11.568,12.346,18.166,0.0,29.714,49.463,11.351,4.036,5.436,8.261,17.918,22.196,6.396,3.549,41.679,12.133,47.154,20.082,16.954,1.838,1.838,55.432,42.73,1.838,0.0,0.0,0.0,61.769,38.231,0.0,0.0,0.0,0.0,0.0,9.161,17.63,69.915,3.294,0.0,9.546,57.062,26.974,0.0,3.209,3.209,61.027,32.087,1.838,0.0,1.838,3.209,36.366,46.213,17.422,0.0,0.0,0.0,11.659,47.95,22.469,1.838,13.971,2.113
7,815,8.0,1901630,Altoona,TENURE3,5.518,20.164,18.999,5.518,41.559,8.242,16.712,34.461,17.629,3.527,27.672,0.0,44.16,23.46,12.471,0.0,16.288,3.621,14.717,64.162,3.68,0.0,17.441,0.0,5.288,21.808,56.193,11.424,5.288,0.0,8.557,24.623,26.078,0.0,36.214,4.528,8.242,3.277,14.717,0.0,71.041,2.723,5.518,34.198,11.037,0.0,46.524,2.723,5.677,51.73,39.791,0.0,2.802,0.0,25.561,36.581,24.626,1.791,9.65,1.792,43.353,40.1,10.964,0.0,5.583,0.0,47.523,37.526,3.527,0.0,11.424,0.0,41.314,44.428,0.0,0.0,14.257,0.0,8.955,60.211,20.09,10.744,0.0,0.0,44.944,46.101,0.0,0.0,8.955,0.0,42.743,43.155,3.527,0.0,10.575,0.0,31.821,52.257,10.55,0.0,5.372,0.0,29.007,49.119,7.157,0.0,9.199,5.518
8,816,9.0,1902260,Anita,TENURE3,3.293,13.242,44.792,12.861,16.096,9.717,17.291,45.182,23.755,3.674,5.312,4.785,37.122,41.886,8.16,0.0,12.832,0.0,8.026,24.005,40.076,1.967,17.987,7.939,4.616,19.625,43.399,13.937,0.0,18.424,14.24,26.949,20.508,8.346,23.801,6.157,6.389,15.398,17.649,9.869,40.835,9.86,6.189,15.447,27.488,8.133,37.599,5.146,20.837,37.047,34.9,3.421,3.793,0.0,39.419,32.576,9.86,7.743,5.576,4.826,7.572,11.984,38.733,20.746,7.0,13.965,80.425,19.575,0.0,0.0,0.0,0.0,68.41,21.414,6.666,0.0,3.509,0.0,12.151,44.234,39.141,4.473,0.0,0.0,41.115,44.482,12.735,0.0,1.668,0.0,56.485,14.137,7.937,0.0,15.145,6.296,39.58,29.865,23.637,3.349,0.0,3.569,25.342,35.77,15.386,7.143,16.359,0.0
9,817,10.0,1903475,Atkins,TENURE3,2.781,18.593,20.442,24.082,22.582,11.521,29.847,47.394,10.061,0.0,5.269,7.429,31.263,43.131,7.809,5.315,10.313,2.168,33.048,53.68,6.198,0.0,4.879,2.195,0.0,2.255,10.601,22.459,0.0,64.685,21.927,26.83,12.396,2.728,23.608,12.511,10.042,4.75,2.656,22.69,29.472,30.39,16.978,13.922,26.606,0.0,24.275,18.22,4.164,40.307,24.923,10.311,8.427,11.868,3.084,16.447,16.488,11.486,9.724,42.77,6.399,35.158,30.03,14.461,6.851,7.101,70.497,14.869,6.065,2.134,6.436,0.0,67.116,26.449,0.0,0.0,6.436,0.0,6.046,49.838,23.736,16.467,2.168,1.744,14.85,55.613,17.427,6.065,4.302,1.744,28.55,48.338,6.364,0.0,15.005,1.744,20.95,35.179,19.469,14.055,8.604,1.744,14.009,55.793,23.648,0.0,6.55,0.0
